,label,tfidf,pmi,country,links,alg,kmeans_plain
0,organic compound,0.018829255103256975,0.10954635897893183,0,1,kmeans_plain,1
1,protein,0.01687201572754511,0.09570648180986077,0,1,kmeans_plain,1
2,carbohydrate,0.01647301097936768,0.09542379925154218,0,1,kmeans_plain,1
3,food,0.015917935770570206,0.08758429099148503,0,1,kmeans_plain,1
4,chemical formula,0.012778079261198803,0.07511599781837151,0,1,kmeans_plain,1
5,e number,0.012778079261198803,0.07511599781837151,0,1,kmeans_plain,1
6,ethanol,0.012723115279176493,0.07310300614444006,0,1,kmeans_plain,1
7,glucose,0.012114967148401908,0.07122598847560595,0,1,kmeans_plain,1
8,fat,0.011729249857997528,0.06804625684723067,0,1,kmeans_plain,1
9,milk,0.011550894181480947,0.06328777734742433,0,1,kmeans_plain,1
10,united states,0.03777132005732272,0.12600001840020714,1,1,kmeans_plain,1
11,the coca-cola company,0.028954268311931566,0.11062307983796564,1,1,kmeans_plain,1
12,soft drink,0.02773291456235907,0.105149293043909,1,1,kmeans_plain,1
13,fast food,0.02056426013699919,0.07855933350618241,1,1,kmeans_plain,1
14,united kingdom,0.02019095622006448,0.07594471155129154,1,1,kmeans_plain,1
15,restaurant chain,0.01924859661880089,0.07338034466774145,1,1,kmeans_plain,1
16,coca-cola,0.018833622531075764,0.07170805788287343,1,1,kmeans_plain,1
17,canada,0.01851927708368216,0.06950152990638145,1,1,kmeans_plain,1
18,supermarket,0.018134819814972628,0.06909317779177286,1,1,kmeans_plain,1
19,mcdonald's,0.017278685739024087,0.06562832816799663,1,1,kmeans_plain,1
20,new york city,0.04085809721618668,0.24476647206005003,2,1,kmeans_plain,1
21,chef,0.03331135595721432,0.21266259894941694,2,1,kmeans_plain,1
22,food network,0.03074894396050553,0.19630393749176947,2,1,kmeans_plain,1
23,restaurant,0.029901250779616004,0.17112262715808743,2,1,kmeans_plain,1
24,celebrity chef,0.02939647534807759,0.18994223581379546,2,1,kmeans_plain,1
25,manhattan,0.027706333347089038,0.17847555254378647,2,1,kmeans_plain,1
26,michelin star,0.026724068498252353,0.17267475983072314,2,1,kmeans_plain,1
27,the new york times,0.02638579822301319,0.15448771412074164,2,1,kmeans_plain,1
28,restaurateur,0.01951500783392967,0.12691594847558152,2,1,kmeans_plain,1
29,los angeles times,0.018830418084001592,0.12183931053655823,2,1,kmeans_plain,1
30,wine,0.04604365190216866,0.22838253589052313,3,1,kmeans_plain,1
31,beer,0.033984809777423644,0.178085433676488,3,1,kmeans_plain,1
32,cocktail,0.02825087064614071,0.15765477349397067,3,1,kmeans_plain,1
33,alcoholic beverage,0.02773312453345742,0.15529934713154606,3,1,kmeans_plain,1
34,brewery,0.020564756223305055,0.11731979583417283,3,1,kmeans_plain,1
35,grape,0.017524518946117736,0.09921902733404331,3,1,kmeans_plain,1
36,france,0.015824661372870915,0.08584118095192511,3,1,kmeans_plain,1
37,diageo,0.014905491108377448,0.0855584366141388,3,1,kmeans_plain,1
38,cabernet sauvignon,0.01423915678860896,0.08170978721627097,3,1,kmeans_plain,1
39,alcohol by volume,0.01423915678860896,0.08170978721627097,3,1,kmeans_plain,1
40,species,0.04729589378218207,0.3824871483856062,4,1,kmeans_plain,1
41,fish,0.038763371544643266,0.41170348785346855,4,1,kmeans_plain,1
42,mollusc,0.036022617724103145,0.4525778498793179,4,1,kmeans_plain,1
43,atlantic ocean,0.03553280863424046,0.43875867889063636,4,1,kmeans_plain,1
44,crustacean,0.03437085118540153,0.4356180904522613,4,1,kmeans_plain,1
45,family,0.03338875427748958,0.3224753207662679,4,1,kmeans_plain,1
46,common name,0.03232172926739386,0.348347799604081,4,1,kmeans_plain,1
47,black sea,0.02756709744339951,0.3619808443929047,4,1,kmeans_plain,1
48,mediterranean sea,0.025392883403729707,0.33047590895654744,4,1,kmeans_plain,1
49,aquaculture,0.02325765636268541,0.3000124589891607,4,1,kmeans_plain,1
50,pork,0.018546256314562665,0.05743491890418427,5,1,kmeans_plain,1
51,bread,0.016284781789894377,0.050414968962782684,5,1,kmeans_plain,1
52,sugar,0.015240780921620331,0.04707991433452848,5,1,kmeans_plain,1
53,cheese,0.014903241681344999,0.0461530598337195,5,1,kmeans_plain,1
54,beef,0.014140339645152326,0.043355515224843724,5,1,kmeans_plain,1
55,tomato,0.013055964772238247,0.040246305418719215,5,1,kmeans_plain,1
56,rice,0.013024715518424167,0.04038642157520462,5,1,kmeans_plain,1
57,meat,0.012955960583250012,0.03998517772743799,5,1,kmeans_plain,1
58,onion,0.01259185922016023,0.038450027738036144,5,1,kmeans_plain,1
59,italian cuisine,0.012232091813869937,0.0373514555169494,5,1,kmeans_plain,1
60,flowering plant,0.0364335289016769,0.17170627534583696,6,1,kmeans_plain,1
61,fruit,0.03472261598340002,0.15318728637891876,6,1,kmeans_plain,1
62,genus,0.03461400199177888,0.15900113201230387,6,1,kmeans_plain,1
63,cultivar,0.02786302381251127,0.1331729311868452,6,1,kmeans_plain,1
64,tree,0.02359646389815866,0.11524956349743253,6,1,kmeans_plain,1
65,seed,0.02183397394074685,0.1060250430989226,6,1,kmeans_plain,1
66,perennial plant,0.02064505203652187,0.10126886750354566,6,1,kmeans_plain,1
67,carl linnaeus,0.020513895010134457,0.09939711375951969,6,1,kmeans_plain,1
68,india,0.02012275865571572,0.09257751821924909,6,1,kmeans_plain,1
69,asia,0.019041533272936284,0.0925621908155704,6,1,kmeans_plain,1
70,dietary supplement,0.011117305783357253,0.06530947869249745,0,1,kmeans_plain,1
